TAG attribution location,TAG citation group,citation group,TAG confidence,TAG data cited,TAG dataset reused,TAG other,TAG problem,TAG repository,TAG source,abstract,address,annote,booktitle,dataset_id,doi,file,institution,isbn,issn,journal,keywords,mendeley-tags,month,number,pages,pmid,publisher,school,title,type,url,volume,year,num_cites,weighted,annotated,duplicates
attribution in text,,,high confidence,data cited,dataset reused,,,BMRB,GS,,,"Cornilescu, Gabriel; Marquardt, John, L.; Ottiger, Marcel; Bax, Ad; """"Validation of Protein Structure from Anisotropic Carbonyl Chemical Shifts in a Dilute Liquid Crystalline Phase,"""" J. Am. Chem. Soc. 120, 6836-6837 (1998). 6457 The 76 observed 13Ca chemical shifts can be found in the Biological Magnetic Resonance Data Bank under accession num- ber 6457.",,6457,10.1002/jcc.21105,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Journal of computational \ldots/Vila/Vila - 2009 - Performance of density functional models to reproduce observed 13C$\alpha$ chemical shifts of proteins in solution.pdf:pdf,,,,Journal of computational \ldots,"BMRB,GS,attribution in text,data cited,dataset reused,high confidence","BMRB,GS,attribution in text,data cited,dataset reused,high confidence",,,,,,,{Performance of density functional models to reproduce observed 13C$\alpha$ chemical shifts of proteins in solution},,http://onlinelibrary.wiley.com/doi/10.1002/jcc.21105/full,,2009,#N/A,1,1,
,,,high confidence,data cited,dataset reused,,,BMRB,GS,,,"Tjandra, Nico; Feller, Scott, E.; Pastor, Richard, W.; Bax, Ad; ""Rotational Diffusion Anisotropy of Human Ubiquitin from 15N NMR Relaxation,"" J. Am. Chem. Soc. 117, 50, 12562-12566 (1995). 6470 The dashed vertical line at 0.75 indicates the value ex- pected for a well-folded protein of about the same size as the TAD; it corresponds to the average of the heteronuclear NOEs (HNOE) mea- sured for backbone amide protons located in regular secondary struc- ture elements of the 76-residue protein of human ubiquitin (Biological Magnetic Resonance Data Bank entry no. 6470).",,6470,10.1128/JVI.00054-09,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Journal of virology/Yamamoto et al./Yamamoto et al. - 2009 - Analysis of the varicella-zoster virus IE62 N-terminal acidic transactivating domain and its interaction with the human mediator complex.pdf:pdf,,,,Journal of virology,"BMRB,GS,attribution in caption,data cited,dataset reused,high confidence","BMRB,GS,attribution in caption,data cited,dataset reused,high confidence",,12,6300,,Am Soc Microbiol,,{Analysis of the varicella-zoster virus IE62 N-terminal acidic transactivating domain and its interaction with the human mediator complex},,http://jvi.asm.org/cgi/content/abstract/83/12/6300,83,2009,#N/A,1,1,
attribution in table,,,high confidence,data cited,dataset reused,,,BMRB,GS,,,"Uhrinova, S.; Uhrin, D.; Powers, H.; Watt, K.; Zheleva, D.; Fischer, P.; McInnes, C.; Barlow, P., N.; ""Structure of free MDM2 N-terminal domain reveals conformational adjustments that accompany p53-binding.,"" J. Mol. Biol. 350, 3, 587-598 (2005). 6612",,6612,10.1073/pnas.0807105105,":C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Journal of biomolecular NMR/Wang, Wang, Wishart/Wang, Wang, Wishart - 2010 - A probabilistic approach for validating protein NMR chemical shift assignments.pdf:pdf",,,,Journal of biomolecular NMR,"BMRB,GS,attribution in table,data cited,dataset reused,high confidence","BMRB,GS,attribution in table,data cited,dataset reused,high confidence",,2,85--99,,Springer,,{A probabilistic approach for validating protein NMR chemical shift assignments},,http://www.springerlink.com/index/c5864v63270l520t.pdf,47,2010,#N/A,1,1,
attribution in text,,,medium confidence,data cited,dataset reused,,,BMRB,GS,"Bile acid molecules are transferred vectorially between basolateral and apical membranes of hepatocytes and enterocytes in the context of the enterohepatic circulation, a process regulating whole body lipid homeostasis. This work addresses the role of the cytosolic lipid binding proteins in the intracellular transfer of bile acids between different membrane compartments. We present nuclear magnetic resonance (NMR) data describing the ternary system composed of the bile acid binding protein, bile acids, and membrane mimetic systems, such as anionic liposomes. This work provides evidence that the investigated liver bile acid binding protein undergoes association with the anionic membrane and binding-induced partial unfolding. The addition of the physiological ligand to the protein-liposome mixture is capable of modulating this interaction, shifting the equilibrium towards the free folded holo protein. An ensemble of NMR titration experiments, based on nitrogen-15 protein and ligand observation, confirm that the membrane and the ligand establish competing binding equilibria, modulating the cytoplasmic permeability of bile acids. These results support a mechanism of ligand binding and release controlled by the onset of a bile salt concentration gradient within the polarized cell. The location of a specific protein region interacting with liposomes is highlighted.",,"Ragona, Laura; Catalano, Maddalena; Luppi, Marianna; Cicero, Daniel; Eliseo, Tommaso; Foote, Jefferson; Fogolari, Federico; Zetta, Lucia; Molinari, Henriette; ""NMR dynamic studies suggest that allosteric activation regulates ligand binding in chicken liver bile acid binding protein,"" J. Biol. Chem. 281, 14, 9697-9709 (2006). 6642 Data Bank Codes: Assignments for apo- and holo-L-BABP are available from the Biological Magnetic Resonance Data Bank (BMRB codes 6642 and 15084)",,15084,10.1016/j.jmb.2009.10.014,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Journal of molecular biology/Ped\`{o} et al./Ped\`{o} et al. - 2009 - NMR studies reveal the role of biomembranes in modulating ligand binding and release by intracellular bile acid binding proteins.pdf:pdf,,,1089-8638,Journal of molecular biology,"BMRB,Bile Acids and Salts,Bile Acids and Salts: metabolism,Biological,Carrier Proteins,Carrier Proteins: chemistry,Carrier Proteins: metabolism,Cell Membrane,Cell Membrane: metabolism,GS,Liposomes,Liposomes: metabolism,Magnetic Resonance Spectroscopy,Magnetic Resonance Spectroscopy: methods,Membrane Glycoproteins,Membrane Glycoproteins: chemistry,Membrane Glycoproteins: metabolism,Models,Molecular,Protein Binding,attribution in text,data cited,dataset reused,medium confidence","BMRB,GS,attribution in text,data cited,dataset reused,medium confidence",December,5,852--63,19836400,,,{NMR studies reveal the role of biomembranes in modulating ligand binding and release by intracellular bile acid binding proteins.},,http://www.ncbi.nlm.nih.gov/pubmed/19836400,394,2009,#N/A,1,1,
attribution in reference,,,high confidence,data cited,dataset reused,,,Pangaea,GS,,,"Niebuhr, Birgit (2005): Geochemistry and time-series analyses of orbitally forced Upper Cretaceous marl-limestone rhythmites (Lehrte West Syncline, northern Germany). Geological Magazine, 142(1), 31-55 http://doi.pangaea.de/10.1594/PANGAEA.206394 Hannes demonstrated the power of Geographical metadata by finding a dataset based in Hannover [14], 14. Hannover dataset http://doi.pangaea.de/10.1594/PANGAEA.206394",,10.1594/PANGAEA.206394,,":C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Ariadne/Pollard, Wilkinson/Pollard, Wilkinson - 2010 - Making datasets visible and accessible DataCiteâ€™s first summer meeting.pdf:pdf",,,,Ariadne,"GS,Pangaea,attribution in reference,data cited,dataset not reused,dataset reused as example,high confidence","GS,Pangaea,attribution in reference,data cited,dataset not reused,dataset reused as example,high confidence",,,,,,,{Making datasets visible and accessible: DataCiteâ€™s first summer meeting},,http://www.ariadne.ac.uk/issue64/datacite-2010-rpt/,64,2010,6,1,1,
attribution in text,,,high confidence,data cited,dataset reused,,,Pangaea,GS,"We present an eco-physiological model reproducing the growth of eight foraminifer species (Neogloboquadrina pachyderma, Neogloboquadrina incompta, Neoglobo- quadrina dutertrei, Globigerina bulloides, Globigerinoides ruber, Globigerinoides sac- 5 culifer, Globigerinella siphonifera and Orbulina universa). By using the main physiolog- ical rates of foraminifers (nutrition, respiration, symbiotic photosynthesis), this model estimates their growth as a function of temperature, light availability, and food concen- tration. Model parameters are directly derived or calibrated from experimental obser- vations and only the influence of food concentration (estimated via chl-a concentration) 10 was calibrated against field observations. Growth rates estimated from the model show positive correlation with observed abundance from plankton net data suggesting close coupling between individual and assemblage growth rates. This observation was used to directly estimate potential abundance from the model-derived growth. Using satel- lite data, the model simulate the dominant foraminifer with a 70.5\% efficiency when compared to a data set of 576 field observations worldwide. Using outputs of a bio- geochemical model of the global ocean (PISCES) instead of satellite images as forcing variables gives also good results, but with lower efficiency (58.9\%). The model also correctly reproduces the relative worldwide abundance and the diversity of the eight species when compared to core tops observations both using satellite and PISCES 20 data. This model allows prediction of the season and water depth at which each species has its highest growth potential. This offers promising perspectives for both an improved quantification of paleoceanographic reconstructions and for a better un- derstanding of the foraminiferal role in the marine carbon cycle.",,"Barrows, Timothy T; Juggins, Steve (2005): Sea-surface temperatures around the Australian margin and Indian Ocean during the last glacial maximum. Quaternary Science Reviews, 24(7-9), 1017-1047 http://doi.pangaea.de/10.1594/PANGAEA.227317 Results from core tops foraminifer counts (MARGO database; Barrows and Juggins,2005; Hayes et al., 2005; Kucera et al., 2005a) were also used. Comparison of the simulation data with core tops foraminiferal assemblages from the MARGO data base (Barrows and Juggins, 2005; Hayes et al., 2005; Kucera et al., 5 2005a), recalculated on the basis of eight species, are shown in Figs. 6 and 7. References: Barrows, T. T. and Juggins, S.: Compilation of planktic foraminifera modern data from the indo- pacific ocean, doi:10.1594/PANGAEA.227317, 2005.",,10.1594/PANGAEA.227317,,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Biogeosciences Discussions/Lombard et al./Lombard et al. - 2011 - Simulating the growth and distribution of planktic foraminifer using an ecophysiological multi-species model.pdf:pdf,,,,Biogeosciences Discussions,"GS,Pangaea,attribution in reference,attribution in text,data cited,dataset reused,high confidence","GS,Pangaea,attribution in reference,attribution in text,data cited,dataset reused,high confidence",,1,1--49,,unknown,,{Simulating the growth and distribution of planktic foraminifer using an ecophysiological multi-species model},,http://biogeosciences-discuss.net/8/1/2011/bgd-8-1-2011.pdf,8,2011,42,1,1,
attribution in text,,,high confidence,data cited,dataset reused,,,Pangaea,GS,,,"Barrows, Timothy T; Juggins, Steve (2005): Sea-surface temperatures around the Australian margin and Indian Ocean during the last glacial maximum. Quaternary Science Reviews, 24(7-9), 1017-1047 http://doi.pangaea.de/10.1594/PANGAEA.227317 Results from core tops foraminifer counts (MARGO database; Barrows and Juggins, 2005; Hayes et al., 2005; Kucera et al., 2005) were also used. This References: Barrows, T. T. and Juggins, S.: Compilation of planktic foraminifera modern data from the indo-pacific ocean, PAN- GAEA database, doi:10.1594/PANGAEA.227317, 2005.",,10.1594/PANGAEA.227317,,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Biogeosciences/Lombard et al./Lombard et al. - 2011 - Modelling planktic foraminifer growth and distribution using an ecophysiological multi-species approach.pdf:pdf,,,,Biogeosciences,"GS,Pangaea,attribution in reference,attribution in text,data cited,dataset reused,high confidence,nice example","GS,Pangaea,attribution in reference,attribution in text,data cited,dataset reused,high confidence,nice example",,,853--873,,,,{Modelling planktic foraminifer growth and distribution using an ecophysiological multi-species approach},,http://www.biogeosciences.net/8/853/2011/bg-8-853-2011.pdf,8,2011,42,1,1,
attribution in reference,citation group 3-10, 3-10,low confidence,,dataset reused,,,Pangaea,WoS,"Diatoms play a central role in the ecosystem of the Southern Ocean, where they represent the main producers and carriers of organic carbon and dissolved silicon towards the deep ocean. Variability in space and time of the size of the most abundant species (Fragilariopsis kerguelensis) may directly impact the way this ecosystem functions, and also affect the nutrient balance of the global ocean, as important water masses (e.g. the Antarctic Intermediate Water) get their nutrient signature in this area. We used a biometric approach and analyzed the size variability of F kerguelensis valves in sixty-four surface sediment samples from the Southern Ocean, in sediment trap samples from a mooring (Site PF3) at the Antarctic Polar Front (APF), and along a nearby piston core (PS1654-2). The average length and valve area of F. kerguelensis displayed a distinct increase in the proximity of the APF, and lower values to the north and south of it, and also changed markedly over seasonal cycles, as diatom blooms and nutrient availability waxe and wane. The last glacial to interglacial transition also witnesses important changes in the general shape and valve size of F. kerguelensis, with specimens from glacial intervals being ca. 30\% larger than their interglacial counterparts (195 versus 150 mu m(2) valve area). A sharp peak in average area and a very specific valve morphology correspond to the first signs of deglaciation and concurring SST (Sea Surface Temperature) increase and sea-ice retreat. The latter, together with melting icebergs, may have contributed dissolved iron to surface waters. The highest average sizes during glacial intervals are higher than what found anywhere in the Southern Ocean today. The newly proposed proxy (valve area and shape of F. kerguelensis) may thus prove useful for the reconstruction of the past position and nutrient characteristics of the APF and ""opal belt"", a region characterized by high production and export of biogenic silica, in a particularly sensitive and dynamic area such as the Southern Ocean. (c) 2007 Elsevier B.V. All rights reserved.","Alfred Wegener Inst Polar \& Marine Res, D-27515 Bremerhaven, Germany; AMSTERDAM; PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS","; data\_id:10.1594/PANGAEA.230042; data\_collection\_article:Geibert, Walter; Rutgers van der Loeff, Michiel M; Usbeck, Regina; Gersonde, Rainer; Kuhn, Gerhard; Seeberg-Elverfeldt, Jens (2005): Quantifying the opal belt in the Atlantic and southeast Pacific sector of the Southern Ocean by means of 230Th normalization. Global Biogeochemical Cycles, 19, 13 pp The patch of high area values in the subantarctic Indian Ocean also probably relates to a very specific ecosystem, with a subsurface productivity maxi- mum that goes undetected by using satellite chlorophyll sensors (see Appendix for a detailed comparison of our data to chlorophyll concentrations), but that has been reconstructed by inverse modelling of Particulate Or- ganic Carbon (POC) export in this area (Fig. 8 in [25]), along with higher Th-corrected export fluxes of biogenic silica to the sediment [26]. (Data Collection article is Reference 26)",,10.1594/PANGAEA.230042,10.1016/j.epsl.2007.03.021,":C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Earth Planet. Sci. Lett./Cortese, Gersonde/Cortese, Gersonde - 2007 - 10008\_3-10Morphometric variability in the diatom Fragilariopsis kerguelensis Implications for Southern Ocean paleoceanography.pdf:pdf",,,ISI:000247148500013,Earth Planet. Sci. Lett.,"Article,Pangaea,Southern Ocean,WoS,citation group 3-10,dataset reused,diatom,feedback please,low confidence,morphometry,nutr,same author","Pangaea,WoS,citation group 3-10,dataset reused,feedback please,low confidence,same author",May,04-Mar,526,,ELSEVIER SCIENCE BV,,{\^{}\^{}10008\_3-10\^{}\^{}Morphometric variability in the diatom Fragilariopsis kerguelensis: Implications for Southern Ocean paleoceanography},,http://dx.doi.org/10.1016/j.epsl.2007.03.021,257,2007,9,19.49305556,1,
attribution in reference,citation group 3-10, 3-10,medium confidence,,dataset reused,,,Pangaea,WoS,"The spatial and temporal distribution of biogenic and lithogenic sediments in the late Quaternary Southern Ocean reflects the zonal character of the Antarctic Circumpolar Current and is basically controlled by glacial dynamics in Antarctica, sea-ice distribution, temperature gradients, wind patterns, and thermohaline ocean circulation. Carbonate patterns in most places reveal a decline in biogenic carbonate preservation during glacial periods, mainly attributed to a reduced influx of North Atlantic Deep Water and increased ocean stratification, which modified deep-water chemistry towards more corrosivity. An important lithological feature of the Southern Ocean is the Circumpolar Opal Belt, which today is situated between the Polar Front and the seasonal sea-ice limit to the south. During the glacial periods the opal belt shifted to the north in response to a wider sea-ice extension that reduced light availability and diatom productivity to the south. Biosiliceous productivity to the north likely was fueled by detrital iron supplied by aeolian dust input and/or hemipelagic processes. Lithogenic fluxes generally increased during the glacial periods. Provenance studies on the origin and dispersal of detrital materials suggest combined effects of low sea-level stands, increased glaciogenic input, and enhanced current transport to have caused elevated detrital fluxes. The relative and absolute contribution of aeolian dust is difficult to decipher and awaits further clarification by integrated provenance studies of both marine sediments and more reference materials from the potential terrestrial source areas. Ice-rafted debris (IRD) represents a minor fraction of lithogenic sediments, but can be used to infer both Antarctic ice-sheet dynamics and the fate of both sea-ice and iceberg survival in the distal Southern Ocean. Future work should be concentrated on a better identification of IRD origin in terms of volcaniclastic influences, the distinction of east and west Antarctic sediment sources, and sea-ice versus iceberg transportation. (C) 2007 Published by Elsevier Ltd.","Alfred Wegener Inst Polar \& Marine Res, D-14473 Potsdam, Germany; OXFORD; THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","; data\_id:10.1594/PANGAEA.230042; data\_collection\_article:Geibert, Walter; Rutgers van der Loeff, Michiel M; Usbeck, Regina; Gersonde, Rainer; Kuhn, Gerhard; Seeberg-Elverfeldt, Jens (2005): Quantifying the opal belt in the Atlantic and southeast Pacific sector of the Southern Ocean by means of 230Th normalization. Global Biogeochemical Cycles, 19, 13 pp Concerning the extension of the opal belt, it represents a revised version of the original compilation by Cooke (1978) (in Burckle et al., 1982) with consideration of opal data and maps from other publications (Burckle and Cirilli, 1987; McCoy, 1991; Zielinski and Gersonde, 1997; Bareille et al., 1998; Pudsey and Howe, 1998; Dezileau et al., 2000; Chase et al., 2003; Geibert et al., 2005).",,10.1594/PANGAEA.230042,10.1016/j.dsr2.2007.07.025,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Deep-Sea Res. Part II-Top. Stud. Oceanogr./Diekmann/Diekmann - 2007 - 10021\_3-10Sedimentary patterns in the late Quaternary Southern Ocean.pdf:pdf,,,ISI:000252018600005,Deep-Sea Res. Part II-Top. Stud. Oceanogr.,"Pangaea,Proceedings Paper,Southern Ocean,WoS,citation group 3-10,dataset reused,deep-water circ,medium confidence","Pangaea,WoS,citation group 3-10,dataset reused,medium confidence",,21-22,2350,,PERGAMON-ELSEVIER SCIENCE LTD,,{\^{}\^{}10021\_3-10\^{}\^{}Sedimentary patterns in the late Quaternary Southern Ocean},,http://dx.doi.org/10.1016/j.dsr2.2007.07.025,54,2007,9,19.49305556,1,
attribution in reference,citation group 3-10, 3-10,high confidence,,dataset reused,,,Pangaea,WoS,"The quantitative analysis of diatom assemblages preserved in 52 samples from the Bellingshausen and the Amundsen Seas provides the first comprehensive view on the distribution of diatoms in surface sediments of the eastern and central Pacific sector of the Southern Ocean. On a latitudinal transect along 120 degrees W, diatom valve accumulation rates (AR) reach maximum values (8-10 x 10(8) valves m(-2) yr(-1)) in a zone extending over ca. 900 km between the Antarctic Polar Front and the maximum average winter sea ice extent and exceed those ARs obtained from an eastern transect along 90 degrees W by one order of magnitude. Lowest diatom concentrations (1-3 x 10(6) valves g(-1)) were encountered in sediments of the Sea Ice Zone, affected by winter and summer sea ice. The accumulation rate pattern of the most abundant diatom Fragilariopsis kerguelensis (>50\% abundance in 47 samples) mirrors the pattern of the total diatom valve AR and the biogenic silica (BSi) AR, making F. kerguelensis the major contributor to the BSi preserved at the sea floor. Relative abundances of diatom species and species groups were statistically compared with a selection of environmental variables, such as the mean summer sea surface temperature and salinity, mean annual surface nutrient concentration (nitrate, phosphate, silicon), mean annual water column stratification, mixed layer depth in summer, and mean summer and winter sea ice concentrations. Polynomial canonical redundancy analysis (RDA) revealed the biogeographic distribution of diatom species had the strongest relationship with summer sea surface temperature (SSST) out of the nine tested environmental variables. This relationship accounted for 69.6\% of the total variance of the diatom distribution, with 29.7\% explained by the first gradient (significantly correlated to SSST with r(2) = 0.941) and 15.6\% explained by the second gradient (correlated to both summer and winter sea ice and silicon concentration). Azpeitia tabularis, Hemidiscus cuneiformis and Roperia tesselata were associated with warmer water conditions (>4 degrees C), whereas Fragilariopsis curta, F. separanda, F. rhombica and Thalassiosira gracilis were correlated with cold SSST (<1.5 degrees C). Under the second gradient relationship, Actinocyclus actinochilus and F. curta were the most important diatoms representative of the diatom distribution in relation to the observed mean summer and winter sea ice concentrations. Confirming these environmental relationships is crucial for the development of reference data sets used in quantitative estimations of palaeoclimatic and palaeoceanographic conditions with statistical methods. This new data set represents the first modernised treatment of diatom remains from the SE Pacific Ocean and generally supports the use of a circum-polar database for the determination of summer SST, sea ice and potentially biogenic silica distribution of the Southern Ocean back into the Late Quaternary. (C) 2010 Elsevier B.V. All rights reserved.","[Esper, Oliver; Gersonde, Rainer; Kadagies, Nicole] Alfred Wegener Inst Polar \& Marine Res, D-27568 Bremerhaven, Germany; AMSTERDAM; PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS","; data\_id:10.1594/PANGAEA.230042; data\_collection\_article:Geibert, Walter; Rutgers van der Loeff, Michiel M; Usbeck, Regina; Gersonde, Rainer; Kuhn, Gerhard; Seeberg-Elverfeldt, Jens (2005): Quantifying the opal belt in the Atlantic and southeast Pacific sector of the Southern Ocean by means of 230Th normalization. Global Biogeochemical Cycles, 19, 13 pp Out of the 52 samples, 31 were previously analysed for 230Th-excess and biogenic silica (BSi) content (Geibert et al., 2005; data available at http://doi:10.1594/PANGAEA.230042), allowing for the calculation of diatom valve accumulation rates (AR) of specific species and species groups and its comparison with the BSi content and the BSi AR. plus several other article citations throughout",,10.1594/PANGAEA.230042,10.1016/j.palaeo.2009.12.006,":C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Palaeogeography, Palaeoclimatology, Palaeoecology/Esper, Gersonde, Kadagies/Esper, Gersonde, Kadagies - 2010 - Diatom distribution in southeastern Pacific surface sediments and their relationship to mod(2).pdf:pdf",,,ISI:000276180100001,Paleogeogr. Paleoclimatol. Paleoecol.,"Amundsen Sea,Article,Diatoms,Marine sediments,Pangaea,WoS,accession mentioned,citation group 3-10,dataset reused,high confidence","Pangaea,WoS,accession mentioned,citation group 3-10,dataset reused,high confidence",March,04-Jan,1,,ELSEVIER SCIENCE BV,,{\^{}\^{}10016\_3-10\^{}\^{}Diatom distribution in southeastern Pacific surface sediments and their relationship to modern environmental variables},,http://dx.doi.org/10.1016/j.palaeo.2009.12.006,287,2010,9,19.49305556,1,1
